,Date,Total Responden,Total Rating,CSAT [After]
212,2024-09-29,29,128,4.41
213,2024-09-30,27,108,4.00
214,2024-10-01,60,243,4.05
215,2024-10-02,31,130,4.19
216,2024-10-03,29,108,3.72
217,2024-10-04,32,133,4.16
218,2024-10-05,32,128,4.00
219,2024-10-06,20,84,4.20
220,2024-10-07,26,110,4.23
221,2024-10-08,27,111,4.11
222,2024-10-09,33,128,3.88
223,2024-10-10,33,139,4.21
224,2024-10-11,27,110,4.07
225,2024-10-12,27,107,3.96
226,2024-10-13,15,65,4.33
227,2024-10-14,19,76,4.00
228,2024-10-15,36,142,3.94
229,2024-10-16,22,72,3.27
230,2024-10-17,29,104,3.59
231,2024-10-18,21,83,3.95
232,2024-10-19,28,125,4.46
233,2024-10-20,27,104,3.85
234,2024-10-21,24,99,4.13
235,2024-10-22,31,111,3.58
236,2024-10-23,31,124,4.00
237,2024-10-24,24,101,4.21
238,2024-10-25,28,112,4.00
239,2024-10-26,28,119,4.25
240,2024-10-27,30,131,4.37
241,2024-10-28,32,108,3.38
242,2024-10-29,30,133,4.43
243,2024-10-30,30,121,4.03
244,2024-10-31,30,120,4.00
245,2024-11-01,34,139,4.09
246,2024-11-02,22,91,4.14
247,2024-11-03,38,147,3.87
248,2024-11-04,44,176,4.00
249,2024-11-05,43,176,4.09
250,2024-11-06,39,160,4.10
251,2024-11-07,24,95,3.96
252,2024-11-08,36,148,4.11
253,2024-11-09,30,126,4.20
254,2024-11-10,33,127,3.85
255,2024-11-11,27,96,3.56
256,2024-11-12,24,94,3.92
257,2024-11-13,29,124,4.28
258,2024-11-14,21,85,4.05
259,2024-11-15,29,126,4.34
260,2024-11-16,24,113,4.71
261,2024-11-17,22,99,4.50
262,2024-11-18,28,102,3.64
263,2024-11-19,32,121,4.24
264,2024-11-20,36,139,3.86
265,2024-11-21,31,129,4.16
266,2024-11-22,21,82,3.90
267,2024-11-23,21,79,3.76
268,2024-11-24,28,116,4.14
269,2024-11-25,22,91,4.14
270,2024-11-26,27,123,4.56
271,2024-11-27,20,86,4.30
272,2024-11-28,27,103,3.81
273,2024-11-29,32,110,3.44
